"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2021-12-21","0.5","10.0","-3.0","0.2",
"PLM00012566","BALICE, PL","2021-12-22","1.0","41.0","-4.7","-1.7",
"PLM00012566","BALICE, PL","2021-12-23","0.0","20.0","-5.1",,
"PLM00012566","BALICE, PL","2021-12-24","3.3","61.0","3.6",,"-2.3"
"PLM00012566","BALICE, PL","2021-12-25","5.1","20.0","-3.6","7.9",
"PLM00012566","BALICE, PL","2021-12-26","0.0","20.0","-9.2","-4.6",
"PLM00012566","BALICE, PL","2021-12-27","0.3","30.0","-8.6",,"-11.2"
"PLM00012566","BALICE, PL","2021-12-28","0.0","20.0","-4.6","-2.8","-7.2"
"PLM00012566","BALICE, PL","2021-12-29","0.3","20.0","-2.1",,"-5.8"
"PLM00012566","BALICE, PL","2021-12-30","0.0","20.0","1.9",,
"PLM00012566","BALICE, PL","2021-12-31","3.3",,"10.1","12.0","3.2"
"PLM00012566","BALICE, PL","2022-01-01","6.4",,"9.7","11.4",
